file,pattern,match_or_content,context
archive/VE011/UT011_0036.xml,short_head,མུ,"<hi rend=""head"">མུ</hi>"
archive/VE011/UT011_0036.xml,short_head,ེ་,"<hi rend=""head"">ེ་</hi>"
archive/VE011/UT011_0036.xml,short_head,ཾ,"<hi rend=""head"">ཾ</hi>"
archive/VE011/UT011_0036.xml,short_head,ེ,"<hi rend=""head"">ེ</hi>"
archive/VE011/UT011_0036.xml,short_head,ཾ,"<hi rend=""head"">ཾ</hi>"
archive/VE011/UT011_0036.xml,short_head,ཾ,"<hi rend=""head"">ཾ</hi>"
archive/VE011/UT011_0036.xml,short_head,ཾ,"<hi rend=""head"">ཾ</hi>"
archive/VE011/UT011_0038.xml,short_head,སྔ,"<hi rend=""head"">སྔ</hi>"
archive/VE011/UT011_0038.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0038.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE011/UT011_0044.xml,short_head,་,"<hi rend=""head"">་</hi>"
archive/VE012/UT012_0001.xml,short_head,ི,"<hi rend=""head"">ི</hi>"
archive/VE012/UT012_0001.xml,short_head,འ,"<hi rend=""head"">འ</hi>"
archive/VE012/UT012_0003.xml,comma_o,",ོ","ིད་རྒྱབ་ཆོས་རྣམ་བཞི་ལས། །,ོག་མར་སྔོན་འགྲོ་ངེས་པའི་ཆོ"
archive/VE012/UT012_0003.xml,comma_tibetan,",ོ","ིད་རྒྱབ་ཆོས་རྣམ་བཞི་ལས། །,ོག་མར་སྔོན་འགྲོ་ངེས་པའི་ཆོ"
archive/VE012/UT012_0003.xml,comma_tibetan,",ེ","་དོན་གྱི་སྙིང་པོར་བཀོ.། །,ེག་པའི་ཡང་ཞུན་བཏུས་པ་ཨེ་མ་"
archive/VE012/UT012_0003.xml,comma_tibetan,",ེ","པར་སྦྱངས་པའི་བློ་མིག་ཅན། ,ེག་པ་རྒྱལ་པོའི་རྣལ་འབྱོར་པ"
archive/VE012/UT012_0003.xml,curly_brace,},ྙིང་པོ་དོན་གྱི་མན་ངག་ལ། །}ོན་འགྲོ་དབང་ཁྲིད་རྒྱབ་ཆོས
archive/VE012/UT012_0003.xml,isolated_dot,ེ.།,ོང་རྡོ་རྗེའི་སྐུར་སྨིན་བྱེ.། །.ེ་ཡི་གནད་ཡིག་མིང་གི་རི
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,ྡོ་རྗེའི་སྐུར་སྨིན་བྱེ.། །.ེ་ཡི་གནད་ཡིག་མིང་གི་རིགས་བ
archive/VE012/UT012_0003.xml,isolated_dot,ེ.།,ོང་རྡོ་རྗེའི་གསུང་སྨིན་བྱེ.། །.ེ་ཡི་གནད་ཡིག་བུམ་པའི་བ
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,ྡོ་རྗེའི་གསུང་སྨིན་བྱེ.། །.ེ་ཡི་གནད་ཡིག་བུམ་པའི་བརྡ་ད
archive/VE012/UT012_0003.xml,isolated_dot,།.ོ,ིག་བུམ་པའི་བརྡ་དོན་གྱིས། །.ོན་གྱི་སྙིང་པོ་གདོད་མའི་གཞ
archive/VE012/UT012_0003.xml,isolated_dot,ེ.།,ང་པོ་གདོད་མའི་གཞི་མཚོན་བྱེ.། །ཤིན་ཏུ་སྤྲོས་མེད་ཡེ་ཤེས
archive/VE012/UT012_0003.xml,isolated_dot,ེ.།,ོང་རྡོ་རྗེའི་ཐུགས་སྨིན་བྱེ.། ། རབ་ཏུ་སྤྲོས་མེད་བྱིན་ར
archive/VE012/UT012_0003.xml,isolated_dot,ེ.།,རྣམ་དག་འོད་གསལ་མངོན་དུ་བྱེ.། །.ེ་དག་ཡན་ལག་དམ་ཚིག་གསུམ
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,དག་འོད་གསལ་མངོན་དུ་བྱེ.། །.ེ་དག་ཡན་ལག་དམ་ཚིག་གསུམ་བཀོ
archive/VE012/UT012_0003.xml,isolated_dot,ེ.།,དུལ་བ་སྤང་བླང་མཚམས་ཤེས་བྱེ.། །.ེ་ལྟར་སྨིན་བྱེད་དབང་གི
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,བ་སྤང་བླང་མཚམས་ཤེས་བྱེ.། །.ེ་ལྟར་སྨིན་བྱེད་དབང་གི་ཆོས
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,་པོར་མེད་པའི་ཐབས་མེད་པས། །.ེ་ཡི་གནད་དུ་འདི་ཀུན་ཚང་བར་
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,བྱོར་མཆོག་ཏུ་གསང་བ་བསྟན། །.ེ་ལྟར་གྲོལ་བྱེད་ཁྲིད་ཀྱི་ཆ
archive/VE012/UT012_0003.xml,isolated_dot,།.ོ,ོས་དགོངས་པའི་ལ་བཟླ་བསྟན། །.ོན་གྱི་སྙིང་པོས་དགོངས་པའི་
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,ངས་ཇི་ལྟར་གདམས་ཚུལ་བསྟན། །.ེ་ལྟར་རྒྱབ་ཆོས་རྣམ་གྲངས་བཅ
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,རྒྱབ་ཆོས་ངོ་མཚར་ཨེ་མ་ཧོ། །.ེ་དག་ཀུན་གྱི་དཔེ་བརྒྱུད་ངེ
archive/VE012/UT012_0003.xml,isolated_dot,ོ.།,་ངེས་པས་ཡང་ཟབ་སྙིང་པོར་བཀོ.། །བཤད་དཔེའི་དོན་བརྒྱུད་ངོ
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,ྱུད་པའི་གསོལ་འདེབས་བསྟན། །.ེ་ཕྱིར་སྔོན་འགྲོ་ངེས་པའི་ཆ
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,་བའི་ལམ་ཁྲིད་ཆེན་མོས་ཏེ། །.ེ་ཕྱིན་གྲོལ་བའི་གདམས་ཁྲིད་
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,ིད་གསལ་བ་ངོ་མཚར་ཨེ་མ་ཧོ། །.ེ་དག་ཀུན་གྱི་རྒྱབ་ཆོས་རིམ་
archive/VE012/UT012_0003.xml,isolated_dot,།.ོ,རང་གནས་ཐེ་ཚོམ་བྲལ་བ་ཡིན། །.ོན་གྱི་མེ་ལོང་བར་དོའི་རང་ག
archive/VE012/UT012_0003.xml,isolated_dot,།.ེ,ེའི་དགོངས་དོན་གསལ་བ་ཡིན། །.ེ་ལྟར་རྒྱབ་ཆོས་དོན་གྱི་གནས
